"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","222","testGetPets()","","Fri Oct 17 12:30:23 IST 2025","passed","Fri Oct 17 12:30:23 IST 2025","","com.demo.springboot_restassured_framework.integration.PetApiIntegrationTest","com.demo.springboot_restassured_framework.integration.PetApiIntegrationTest","testGetPets"
"","7","Should return employee by Id","","Fri Oct 17 12:30:37 IST 2025","passed","Fri Oct 17 12:30:37 IST 2025","","com.demo.springboot_restassured_framework.service.EmployeeServiceTest","com.demo.springboot_restassured_framework.service.EmployeeServiceTest","testGetEmployeeById"
"","15","Should return empty when fetching non-existing employees by Id [Parameterized] [2] id=2222222","","Fri Oct 17 12:30:00 IST 2025","passed","Fri Oct 17 12:30:00 IST 2025","","com.demo.springboot_restassured_framework.integration.EmpApiIntegrationWithTransactionalNParameterizedTest","com.demo.springboot_restassured_framework.integration.EmpApiIntegrationWithTransactionalNParameterizedTest","testGetNonExistingEmployeeByIdParameterized"
"","54","Should delete employee by name [Parameterized] [1] name=Alice","","Fri Oct 17 12:30:00 IST 2025","passed","Fri Oct 17 12:30:00 IST 2025","","com.demo.springboot_restassured_framework.integration.EmpApiIntegrationWithTransactionalNParameterizedTest","com.demo.springboot_restassured_framework.integration.EmpApiIntegrationWithTransactionalNParameterizedTest","testDeleteEmployeeParameterized"
"","10","Should throw exception when updating non-existing employee [Parameterized] [1] id=1111111, newSalary=10000","","Fri Oct 17 12:30:00 IST 2025","passed","Fri Oct 17 12:30:00 IST 2025","","com.demo.springboot_restassured_framework.integration.EmpApiIntegrationWithTransactionalNParameterizedTest","com.demo.springboot_restassured_framework.integration.EmpApiIntegrationWithTransactionalNParameterizedTest","testUpdateNonExistingEmployeeByIdParameterized"
"","4","Should return 404 for not creating Pet","","Fri Oct 17 12:30:37 IST 2025","passed","Fri Oct 17 12:30:37 IST 2025","","com.demo.springboot_restassured_framework.service.PetServiceTest","com.demo.springboot_restassured_framework.service.PetServiceTest","testCreatePet_NotFound"
"","14","Should throw exception when updating non-existing employee [Parameterized] [3] id=3333333, newSalary=30000","","Fri Oct 17 12:30:00 IST 2025","passed","Fri Oct 17 12:30:00 IST 2025","","com.demo.springboot_restassured_framework.integration.EmpApiIntegrationWithTransactionalNParameterizedTest","com.demo.springboot_restassured_framework.integration.EmpApiIntegrationWithTransactionalNParameterizedTest","testUpdateNonExistingEmployeeByIdParameterized"
"Verify that a Update Non Existing Employee By Id.","23","testUpdateNonExistingEmployeeById()","","Fri Oct 17 12:30:14 IST 2025","passed","Fri Oct 17 12:30:14 IST 2025","","com.demo.springboot_restassured_framework.integration.EmployeeApiIntegrationWithTransactionalTest","com.demo.springboot_restassured_framework.integration.EmployeeApiIntegrationWithTransactionalTest","testUpdateNonExistingEmployeeById"
"","255","testGetPetById()","","Fri Oct 17 12:30:23 IST 2025","passed","Fri Oct 17 12:30:23 IST 2025","","com.demo.springboot_restassured_framework.integration.PetApiIntegrationTest","com.demo.springboot_restassured_framework.integration.PetApiIntegrationTest","testGetPetById"
"","127","testDeletePetById()","","Fri Oct 17 12:30:30 IST 2025","passed","Fri Oct 17 12:30:30 IST 2025","","com.demo.springboot_restassured_framework.integration.PetApiTestContainerIntegrationTest","com.demo.springboot_restassured_framework.integration.PetApiTestContainerIntegrationTest","testDeletePetById"
